Sample_ID	State	GEO_Accession	BioSample	SRA
SN7640334_39846_1_d0_1_1	embryonic stem cells	GSM3182739	SAMN09390556	SRX4192204
SN7640334_39847_2_d0_2_1	embryonic stem cells	GSM3182740	SAMN09390555	SRX4192205
SN7640334_39848_3_d0_3_1	embryonic stem cells	GSM3182741	SAMN09390554	SRX4192206
SN7640334_39849_4_d1_1_1	early mesoderm cells	GSM3182742	SAMN09390553	SRX4192207
SN7640334_39850_5_d1_2_1	early mesoderm cells	GSM3182743	SAMN09390552	SRX4192208
SN7640334_39851_6_d1_3_1	early mesoderm cells	GSM3182744	SAMN09390551	SRX4192209
SN7640334_39852_7_d2_1_1	late mesoderm cells	GSM3182745	SAMN09390550	SRX4192210
SN7640334_39853_8_d2_2_1	late mesoderm cells	GSM3182746	SAMN09390549	SRX4192211
SN7640334_39854_9_d2_3_1	late mesoderm cells	GSM3182747	SAMN09390548	SRX4192212
SN7640334_39855_10_d4_1_1	cardiac mesoderm cells	GSM3182748	SAMN09390547	SRX4192213
SN7640334_39856_11_d4_2_1	cardiac mesoderm cells	GSM3182749	SAMN09390567	SRX4192214
SN7640334_39857_12_d4_3_1	cardiac mesoderm cells	GSM3182750	SAMN09390566	SRX4192215
SN7640334_39858_13_d6_1_1	cardiac progenitor cells	GSM3182751	SAMN09390565	SRX4192216
SN7640334_39859_14_d6_2_1	cardiac progenitor cells	GSM3182752	SAMN09390564	SRX4192217
SN7640334_39860_15_d6_3_1	cardiac progenitor cells	GSM3182753	SAMN09390563	SRX4192218
SN7640334_39861_16_d8_1_1	early cardiomyocytes	GSM3182754	SAMN09390562	SRX4192219
SN7640334_39862_17_d8_2_1	early cardiomyocytes	GSM3182755	SAMN09390561	SRX4192220
SN7640334_39863_18_d8_3_1	early cardiomyocytes	GSM3182756	SAMN09390560	SRX4192221
D004270063_39864_19_d14_1_1	late cardiomyocytes	GSM3182757	SAMN09390559	SRX4192222
D004270063_39865_20_d14_2_1	late cardiomyocytes	GSM3182758	SAMN09390558	SRX4192223
D004270063_39866_21_d14_3_1	late cardiomyocytes	GSM3182759	SAMN09390557	SRX4192224
