ID_REF	GSM142398	GSM142399	GSM142400	GSM142401	GSM142402	GSM142403	GSM142404	GSM142405	GSM142406	GSM142407	GSM142408	GSM142409	GSM142410	GSM142411	GSM142412	GSM142413	GSM142414	GSM142415	GSM142416	GSM142417	GSM142418	GSM142419	GSM142420	GSM142421	GSM142422	GSM142423
1415670_at	1191	1251.4	1014.2	1079	907.5	935.6	816.7	988.6	920.7	1099.1	1052.4	905	1004.9	1197	709.1	714.8	856.1	1116.7	804.9	1006.2	1047	838.1	1091.4	980.7	1137.4	914.4
1415671_at	1914.6	2287.1	1752.7	1950	2832.3	2352.2	1611.1	1877.2	1850.2	1907.8	1705.6	1023	1296.2	1463.2	1434	2430.1	1799.1	1679.4	1378	1541.1	1621.3	1351.8	1797.8	1523.4	1568.3	1327.8
1415672_at	2217.4	1899.4	2180.8	2105	2208.5	2565	3189.8	2031.8	2077.9	2443.1	2483	2405.9	2396.2	1971	1915.6	2364.9	2548.8	2437.1	1367.8	2224.8	2863.8	3564.3	2586	2301.6	2835.4	2981.9
1415673_at	507.6	1230	427.2	342	498.2	468.4	484.5	593.1	498.9	592.4	556.1	794.1	828.9	552.5	529.1	520.5	446.8	604.6	301.5	1539	1331.7	1431.7	1568.7	529.5	953.8	1334.1
1415674_a_at	962.2	1623.6	983.1	886.6	1211.4	1132.9	1122.1	1299.6	1342.9	1499.4	860.2	1597.9	1207.8	1305.4	1417.1	986.8	866.6	1088.9	899.1	1522.3	1621.7	1624.9	1864.5	859.3	690.7	825.4
1415675_at	735.7	952	770.1	663.2	671.2	685	673	950.9	901.7	887.2	927	1155.8	777.2	671.1	607.9	755.6	773.8	772	497.6	889.6	796	696.8	825.3	669.8	552.2	553.9
1415676_a_at	1549.9	3928.8	1140.1	1087.8	2418.6	2469	2554.6	2071.5	2227.1	1754.6	2118.3	2305.4	2242.6	2141.4	2183.7	2717.7	2654.6	1519.8	1504.7	4171.8	3528.8	3298.6	3622.5	1312.6	2588.3	2688.8
1415677_at	152.3	140.6	241.3	218.4	463	298.4	277.3	936.5	965.2	229	319.2	191.4	157.5	536.7	436.6	290.2	199.1	252.8	259.9	215.5	315.9	220.8	341.4	203.5	160.7	237.4
1415678_at	872.9	824.4	1080.3	935.7	697.2	906.1	564.9	702.8	885.8	664.3	520.4	970.9	520.6	597.3	696	1134.3	872.2	767	676.4	523.6	1119.6	1140.4	1074.9	1170.1	882.6	978.4
1415679_at	4277	2397	3445.2	3511.1	4051.5	4549	4061.5	3207	2991.5	4284.4	3671.4	4488.4	4228.3	3754.1	4612.7	2720.2	2849.4	3711.9	2383.5	4423.7	4307.6	4694.4	4875.5	3738.9	1556.2	1783.7
1415680_at	1211.4	1642.2	1136.4	1360.5	1323.7	964.4	921.3	1373.2	1285.2	1155.8	932.6	1597.5	904.8	811	690.7	1565.5	1397.7	1257.6	1390.4	951.9	1151.1	936.4	1045	1216.4	1183.8	854.1
1415681_at	1362.7	1447.3	1281.1	1285.4	1094	1510.4	1125.1	1023	1236.5	1498	1768.2	1251.3	1368.6	1393	1932.6	1129	962.2	1272.9	700.1	1808.7	1345.6	999.1	1603.8	1177.2	1295.2	1612.6
1415682_at	843	612	1049.8	3006.2	3798	2291.6	3519.1	445.1	583.8	1460.8	1168.6	1439.2	424.3	556.7	525.5	5395.3	4316.9	1186.6	997.5	401.4	677	399.1	482.3	1461.3	532.2	485
1415683_at	1894.8	3080.2	1742	1711.5	2334.9	2093	2138.1	2169.5	2146.7	2436	1789.7	1829.3	2439.2	2204.9	1952.5	2389.5	2252.3	1829.1	1534.2	2024.8	2233.9	2008.2	2230.8	2378	3350.3	2972.8
1415684_at	513.4	303.2	290.1	295	360.2	273.5	219.9	461.9	450.7	228.1	283.5	229.5	389.8	245.3	343.7	189.8	167.2	336.2	208.5	242.2	196.6	208.3	189.4	332.9	328.8	249.5
1415685_at	571.1	490.5	563.6	537.3	413	606.8	378.8	714.3	669.7	480.8	659.6	950.3	540.5	492.8	399.9	396.2	666	606.4	570.9	168.5	457.8	513.5	429.6	699.3	989.6	858.1
1415686_at	519.9	584	685.4	803.2	536.1	693.1	614.2	1043.3	901.6	551.6	833.2	1146.7	707	566.1	619	390	373.5	539.2	745.3	355	660.4	590.3	589.2	735.1	855.5	533.9
1415687_a_at	10851.5	1632.2	9526	9910.4	9191	11109.7	6870.7	15949.3	16002.5	12944.5	9583.1	7525.7	8702.6	21430.4	9427.5	4987	5093.2	8825.1	16258.3	8526.7	6680.1	5681.1	8526.8	8400.6	4238.7	3486.3
1415688_at	1267.4	1386.8	1331.2	1302.4	1048.8	958.7	1258.6	1148.3	1195	1221.5	1549.3	1824.7	1409.3	1233.9	1861.4	778.4	857.2	1136.2	943.8	1274.4	1486.5	1650.7	1543.1	1480.5	2255.8	2796.4
1415689_s_at	628.2	297.3	809.5	850.7	476.6	509.1	442.7	392	432	516.3	700.8	498.4	609.2	485.6	547.6	466.5	422.4	565.8	436.1	293.6	413.9	464.9	405.5	769.6	447	388.6
1415690_at	830.4	2057.8	741	611.7	1316.1	1080.3	1481.8	1345.6	1077.1	1268.3	880.6	1602.6	1157.4	954.4	1257.7	1830.3	2737.9	1045.7	484.3	2499	2470.7	3011.2	2224.5	689.9	1755.2	1789.5
1415691_at	1095.4	626.2	1262.3	1290.2	835.5	827.1	681.1	971.5	819.8	610.6	826.2	731.4	806.8	633.6	1707.2	768.4	662.3	962	1622.8	310.1	433.7	322.8	455.4	1184.5	596.1	492.7
1415692_s_at	3663.2	5239.8	3075.3	3154.6	4705.5	3276.6	3300.9	5590.2	5189.4	3012.2	3240.8	2840.6	3873.5	4262.1	2631.9	3536.3	4401.1	2988.2	1937.2	4302.6	3065.9	3234.1	2677	2451.9	3763.2	4139.9
1415693_at	1020.8	829	961.6	931.9	1114.3	860	804.4	872	870.4	894.7	674.9	760.2	1054.7	1277.4	1069.7	806.7	705.6	855	1057.1	1097.4	1115.6	882.8	1101.9	780.3	526.4	770.8
1415694_at	664.4	748.3	539	510.5	505.5	444.4	413.5	766.8	837	748.2	409	406.8	684.9	878.6	301.3	319.3	446.2	462.2	215.5	735.2	670.1	444	722.5	398.1	297.3	399.6
1415695_at	2902.7	6186.2	2654.6	2586.1	3338.1	3455.9	5699.5	5088.4	4888.8	3409.8	4753.6	5270	4721.2	4087.8	5064.4	5713.1	6695.4	3782.3	2894.6	4424.7	5547.2	7802	4909.7	3310.5	5474.1	6060.5
1415696_at	1166.1	1665.9	1019	1106.9	1322.7	1176	1071.1	1380.7	1382.3	1246.7	949.4	961.4	1323.1	1426.6	1091.4	1160.1	1159.9	1101.7	1198.9	1060.8	1343.6	1211.8	1233.9	1014.5	1022	1122.8
1415697_at	1358.4	1841	1134.4	1163.8	1042.5	1228.4	908.3	1106.5	1070.9	979.9	801.5	1317.3	1402.5	982.6	1150.2	754.1	837.5	1339.5	977.3	1019.9	1292.5	1777.7	1180.4	1619.3	1719.3	1663.4
1415698_at	483.6	329.1	466.3	543	437.9	387.5	469.2	459.6	447.4	399.3	189.3	163.4	580.9	385.6	286.7	642.5	683.5	723.4	357.7	168.6	293.7	208.3	245.4	383.9	407.1	256.4
1415699_a_at	1640.9	2501.5	1831.2	1733.4	1509.8	1398.5	1204.8	1803	1712.9	2063.2	1590.7	1365	1242.9	1661.7	1560	1364.5	1577.9	1723.2	1319.2	1413.3	1390.1	1097.6	1441	1432.9	1520.3	1567.3
1415700_a_at	1787.2	2873.5	1846.3	2045.6	2530.7	1761.5	2067.7	2557.5	2376.5	1490.1	1726.3	1674.5	3389.4	2008.1	1970.8	2208.9	2117.4	1674.6	1464	2187.6	2572	3073	2138	1874.3	3723.9	3879.7
1415701_x_at	28832.9	22754.8	28971	24348.3	20820.5	28940.5	29040.5	23232.1	19075.9	38776.3	33117.6	28412.3	30584.8	32654.7	36486.1	21787.9	23076.5	28926.7	25318.2	24936.6	23780.4	25609.7	27960.9	20070.7	23601.2	27300.8
1415702_a_at	2604.6	2419.2	2598.9	2740.6	3480.3	3025.8	2816.9	2003.2	2188.7	3063.4	2738.3	2487.3	2868.9	2319.6	2606.7	4249.6	3373	2325.5	3892	2720.6	2544.7	2435.7	2708.5	2549.2	2720.6	2817.7
