"ID"	"GB_ACC"	"SPOT_ID"	"Species.Scientific.Name"	"Annotation.Date"	"Sequence.Type"	"Sequence.Source"	"Target.Description"	"Representative.Public.ID"	"Gene.Title"	"Gene.Symbol"	"ENTREZ_GENE_ID"	"RefSeq.Transcript.ID"	"Gene.Ontology.Biological.Process"	"Gene.Ontology.Cellular.Component"	"Gene.Ontology.Molecular.Function"
"1416566_at"	"NM_011499"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:NM_011499.1 /DB_XREF=gi:6755681 /GEN=Strap /FEA=FLmRNA /CNT=294 /TID=Mm.22584.1 /TIER=FL+Stack /STK=81 /UG=Mm.22584 /LL=20901 /DEF=Mus musculus serinethreonine kinase receptor associated protein (Strap), mRNA. /PROD=serinethreonine kinase receptor associatedprotein /FL=gb:NM_011499.1 gb:AF096285.1"	"NM_011499"	"serine/threonine kinase receptor associated protein"	"Strap"	"20901"	"NM_011499 /// XM_006505831"	"0000122 // negative regulation of transcription from RNA polymerase II promoter // inferred from direct assay /// 0000387 // spliceosomal snRNP assembly // not recorded /// 0006397 // mRNA processing // inferred from electronic annotation /// 0008380 // RNA splicing // inferred from electronic annotation /// 0010633 // negative regulation of epithelial cell migration // not recorded /// 0010719 // negative regulation of epithelial to mesenchymal transition // not recorded /// 0016310 // phosphorylation // inferred from electronic annotation /// 0030277 // maintenance of gastrointestinal epithelium // not recorded /// 0030512 // negative regulation of transforming growth factor beta receptor signaling pathway // inferred from direct assay /// 0030512 // negative regulation of transforming growth factor beta receptor signaling pathway // not recorded /// 0050680 // negative regulation of epithelial cell proliferation // not recorded /// 0060394 // negative regulation of pathway-restricted SMAD protein phosphorylation // not recorded"	"0005634 // nucleus // not recorded /// 0005681 // spliceosomal complex // inferred from electronic annotation /// 0005737 // cytoplasm // not recorded /// 0005739 // mitochondrion // inferred from electronic annotation /// 0005829 // cytosol // not recorded /// 0005886 // plasma membrane // not recorded /// 0030054 // cell junction // not recorded /// 0032797 // SMN complex // not recorded /// 0034719 // SMN-Sm protein complex // not recorded"	"0005102 // receptor binding // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // not recorded"
"1417511_at"	"NM_025281"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:NM_025281.1 /DB_XREF=gi:13384621 /GEN=Lyar /FEA=FLmRNA /CNT=93 /TID=Mm.28560.1 /TIER=FL+Stack /STK=43 /UG=Mm.28560 /LL=17089 /DEF=Mus musculus Ly1 antibody reactive clone (Lyar), mRNA. /PROD=Ly1 antibody reactive clone /FL=gb:NM_025281.1"	"NM_025281"	"Ly1 antibody reactive clone"	"Lyar"	"17089"	"NM_025281 /// XM_006503759 /// XM_006503760 /// XM_006503761 /// XM_006503762 /// XM_006503763 /// XM_006503764 /// XM_006503765 /// XM_006503766"	""	"0005634 // nucleus // not recorded /// 0005730 // nucleolus // inferred from direct assay /// 0005730 // nucleolus // not recorded"	"0044822 // poly(A) RNA binding // not recorded /// 0046872 // metal ion binding // inferred from electronic annotation"
"1448122_at"	"NM_013686"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:NM_013686.1 /DB_XREF=gi:7305564 /GEN=Tcp1 /FEA=FLmRNA /CNT=321 /TID=Mm.2223.1 /TIER=FL+Stack /STK=191 /UG=Mm.2223 /LL=21454 /DEF=Mus musculus t-complex protein 1 (Tcp1), mRNA. /PROD=t-complex protein 1 /FL=gb:BC003809.1 gb:M12899.1 gb:D90344.1 gb:NM_013686.1"	"NM_013686"	"t-complex protein 1"	"Tcp1"	"21454"	"NM_001290712 /// NM_013686 /// XM_006523312"	"0006457 // protein folding // inferred from electronic annotation /// 0007339 // binding of sperm to zona pellucida // inferred from direct assay /// 0044267 // cellular protein metabolic process // inferred from electronic annotation"	"0000242 // pericentriolar material // inferred from direct assay /// 0000792 // heterochromatin // not recorded /// 0001669 // acrosomal vesicle // inferred from direct assay /// 0002199 // zona pellucida receptor complex // inferred from direct assay /// 0005634 // nucleus // inferred from electronic annotation /// 0005720 // nuclear heterochromatin // inferred from direct assay /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from direct assay /// 0005813 // centrosome // not recorded /// 0005815 // microtubule organizing center // inferred from direct assay /// 0005832 // chaperonin-containing T-complex // inferred from direct assay /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005874 // microtubule // not recorded /// 0005886 // plasma membrane // inferred from electronic annotation /// 0030054 // cell junction // inferred from electronic annotation /// 0044297 // cell body // inferred from direct assay /// 0070062 // extracellular vesicular exosome // not recorded"	"0000166 // nucleotide binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // not recorded /// 0051082 // unfolded protein binding // inferred from electronic annotation"
"1428071_at"	"AK004153"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:AK004153.1 /DB_XREF=gi:12835228 /FEA=mRNA /CNT=239 /TID=Mm.29382.1 /TIER=Stack /STK=160 /UG=Mm.29382 /LL=68778 /UG_GENE=1110038D17Rik /UG_TITLE=RIKEN cDNA 1110038D17 gene /DEF=Mus musculus 18 days embryo whole body cDNA, RIKEN full-length enriched library, clone:1110038D17:unclassifiable transcript, full insert sequence."	"AK004153"	"guanylyl cyclase domain containing 1"	"Gucd1"	"68778"	"NM_175133 /// XM_006514033 /// XM_006514034 /// XM_006514035 /// XM_006514036"	""	""	""
"1424192_at"	"BC019498"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:BC019498.1 /DB_XREF=gi:18044116 /FEA=FLmRNA /CNT=82 /TID=Mm.27662.1 /TIER=FL+Stack /STK=46 /UG=Mm.27662 /LL=68948 /UG_GENE=1500011H22Rik /DEF=Mus musculus, RIKEN cDNA 1500011H22 gene, clone MGC:27542 IMAGE:4460879, mRNA, complete cds. /PROD=RIKEN cDNA 1500011H22 gene /FL=gb:BC019498.1"	"BC019498"	"family with sequence similarity 216, member A"	"Fam216a"	"68948"	"NM_026883"	""	""	""
"1423705_at"	"BC021429"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:BC021429.1 /DB_XREF=gi:18204758 /FEA=FLmRNA /CNT=200 /TID=Mm.11311.1 /TIER=FL+Stack /STK=143 /UG=Mm.11311 /LL=67870 /UG_GENE=2310057D15Rik /DEF=Mus musculus, Similar to RIKEN cDNA 2310057D15 gene, clone MGC:29163 IMAGE:5030617, mRNA, complete cds. /PROD=Similar to RIKEN cDNA 2310057D15 gene /FL=gb:BC021429.1"	"BC021429"	"enolase-phosphatase 1"	"Enoph1"	"67870"	"NM_001163035 /// NM_026421 /// NR_027990 /// XM_006535189 /// XM_006535190"	"0008152 // metabolic process // inferred from electronic annotation /// 0008652 // cellular amino acid biosynthetic process // inferred from electronic annotation /// 0009086 // methionine biosynthetic process // inferred from electronic annotation /// 0016311 // dephosphorylation // not recorded /// 0019509 // L-methionine salvage from methylthioadenosine // not recorded"	"0005634 // nucleus // inferred from electronic annotation /// 0005737 // cytoplasm // inferred from electronic annotation"	"0000287 // magnesium ion binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0043874 // acireductone synthase activity // not recorded /// 0046872 // metal ion binding // inferred from electronic annotation"
"1433457_s_at"	"AV090328"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:AV090328 /DB_XREF=gi:16381515 /DB_XREF=AV090328 /CLONE=2310049F06 /FEA=EST /CNT=299 /TID=Mm.27453.1 /TIER=Stack /STK=179 /UG=Mm.27453 /LL=27980 /UG_GENE=D5Wsu31e /UG_TITLE=DNA segment, Chr 5, Wayne State University 31, expressed"	"AV090328"	"G-rich RNA sequence binding factor 1"	"Grsf1"	"231413"	"NM_001098476 /// NM_178700"	"0006397 // mRNA processing // inferred from electronic annotation /// 0008033 // tRNA processing // inferred from electronic annotation /// 0009952 // anterior/posterior pattern specification // inferred from mutant phenotype /// 0016331 // morphogenesis of embryonic epithelium // inferred from mutant phenotype"	"0005737 // cytoplasm // inferred from electronic annotation /// 0005739 // mitochondrion // inferred from direct assay /// 0005739 // mitochondrion // not recorded /// 0042645 // mitochondrial nucleoid // inferred from electronic annotation"	"0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // not recorded"
"1418929_at"	"NM_028680"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:NM_028680.1 /DB_XREF=gi:20127154 /GEN=4833420A15Rik /FEA=FLmRNA /CNT=39 /TID=Mm.31355.1 /TIER=FL+Stack /STK=16 /UG=Mm.31355 /LL=73916 /DEF=Mus musculus RIKEN cDNA 4833420A15 gene (4833420A15Rik), mRNA. /PROD=huntingtin-interacting protein-1 proteininteractor /FL=gb:NM_028680.1 gb:AF274590.1"	"NM_028680"	"intraflagellar transport 57"	"Ift57"	"73916"	"NM_028680"	"0001843 // neural tube closure // inferred from mutant phenotype /// 0001947 // heart looping // inferred from mutant phenotype /// 0006351 // transcription, DNA-templated // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-templated // inferred from electronic annotation /// 0006915 // apoptotic process // not recorded /// 0006919 // activation of cysteine-type endopeptidase activity involved in apoptotic process // not recorded /// 0007224 // smoothened signaling pathway // inferred from mutant phenotype /// 0016192 // vesicle-mediated transport // inferred from electronic annotation /// 0042073 // intraciliary transport // inferred by curator /// 0042981 // regulation of apoptotic process // not recorded /// 0050680 // negative regulation of epithelial cell proliferation // inferred from mutant phenotype /// 0060271 // cilium morphogenesis // inferred from mutant phenotype /// 0060972 // left/right pattern formation // inferred from mutant phenotype"	"0005622 // intracellular // inferred by curator /// 0005623 // cell // inferred by curator /// 0005737 // cytoplasm // inferred from electronic annotation /// 0005794 // Golgi apparatus // inferred from direct assay /// 0005813 // centrosome // inferred from direct assay /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005929 // cilium // inferred by curator /// 0005929 // cilium // inferred from direct assay /// 0016020 // membrane // inferred from electronic annotation /// 0030992 // intraciliary transport particle B // inferred from direct assay /// 0032391 // photoreceptor connecting cilium // inferred from direct assay /// 0036064 // ciliary basal body // inferred from direct assay /// 0036064 // ciliary basal body // not recorded /// 0042995 // cell projection // inferred from electronic annotation /// 0044292 // dendrite terminus // inferred from direct assay /// 0072372 // primary cilium // inferred from direct assay"	"0003677 // DNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction"
"1417242_at"	"NM_138669"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:NM_138669.1 /DB_XREF=gi:20149755 /GEN=MGC6664 /FEA=FLmRNA /CNT=108 /TID=Mm.197555.1 /TIER=FL+Stack /STK=51 /UG=Mm.197555 /LL=192170 /DEF=Mus musculus hypothetical protein MGC6664 (MGC6664), mRNA. /PROD=hypothetical protein MGC6664 /FL=gb:BC012862.1 gb:NM_138669.1 gb:BC008132.1"	"NM_138669"	"eukaryotic translation initiation factor 4A3 /// predicted pseudogene 5576"	"Eif4a3"	"192170 /// 434050"	"NM_138669 /// XM_006544058 /// XM_485792"	"0000184 // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // not recorded /// 0000381 // regulation of alternative mRNA splicing, via spliceosome // inferred from sequence or structural similarity /// 0006200 // ATP catabolic process // not recorded /// 0006364 // rRNA processing // inferred from electronic annotation /// 0006397 // mRNA processing // inferred from electronic annotation /// 0006417 // regulation of translation // inferred from electronic annotation /// 0006810 // transport // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation /// 0008380 // RNA splicing // inferred from electronic annotation /// 0017148 // negative regulation of translation // not recorded /// 0045727 // positive regulation of translation // not recorded /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from direct assay /// 0048026 // positive regulation of mRNA splicing, via spliceosome // inferred from mutant phenotype /// 0048701 // embryonic cranial skeleton morphogenesis // inferred from sequence or structural similarity /// 0051028 // mRNA transport // inferred from electronic annotation"	"0005634 // nucleus // inferred from direct assay /// 0005634 // nucleus // not recorded /// 0005681 // spliceosomal complex // inferred from electronic annotation /// 0005737 // cytoplasm // not recorded /// 0016607 // nuclear speck // inferred from electronic annotation /// 0035145 // exon-exon junction complex // not recorded /// 0071013 // catalytic step 2 spliceosome // not recorded"	"0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0003729 // mRNA binding // not recorded /// 0004004 // ATP-dependent RNA helicase activity // not recorded /// 0004386 // helicase activity // inferred from electronic annotation /// 0005524 // ATP binding // not recorded /// 0008026 // ATP-dependent helicase activity // inferred from electronic annotation /// 0008143 // poly(A) binding // not recorded /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // not recorded"
"1452241_at"	"BC007170"	""	"Mus musculus"	"Oct 6, 2014"	"Consensus sequence"	"GenBank"	"gb:BC007170.1 /DB_XREF=gi:13938109 /FEA=mRNA /CNT=102 /TID=Mm.1687.1 /TIER=Stack /STK=37 /UG=Mm.1687 /DEF=Mus musculus, Similar to topoisomerase (DNA) II binding protein, clone IMAGE:3491455, mRNA, partial cds. /PROD=Similar to topoisomerase (DNA) II bindingprotein"	"BC007170"	"topoisomerase (DNA) II binding protein 1"	"Topbp1"	"235559"	"NM_176979 /// XM_006511705 /// XM_006511706 /// XM_006511707"	"0006281 // DNA repair // inferred from electronic annotation /// 0006974 // cellular response to DNA damage stimulus // not recorded /// 0007131 // reciprocal meiotic recombination // not recorded /// 0010212 // response to ionizing radiation // not recorded"	"0000794 // condensed nuclear chromosome // inferred from direct assay /// 0000922 // spindle pole // inferred from electronic annotation /// 0001673 // male germ cell nucleus // inferred from direct assay /// 0005634 // nucleus // not recorded /// 0005694 // chromosome // inferred from direct assay /// 0005694 // chromosome // not recorded /// 0005737 // cytoplasm // not recorded /// 0005815 // microtubule organizing center // inferred from electronic annotation /// 0005856 // cytoskeleton // inferred from electronic annotation /// 0005886 // plasma membrane // not recorded /// 0016605 // PML body // not recorded"	"0003677 // DNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0042802 // identical protein binding // not recorded"
